index,Movie,Synopsis,Year,Duration,Rating,Meta Score,Genre
0, (500) Days of Summer,"After being dumped by the girl he believes to be his soulmate, hopeless romantic Tom Hansen reflects on their relationship to try and figure out where things went wrong and how he can win her back.",2009,1h 35m,7.7 ,76,Romance
1, 10 Cloverfield Lane,A young woman is held in an underground bunker by a man who insists that a hostile event has left the surface of the Earth uninhabitable.,2016,1h 43m,7.2 ,76,Horror
2, 1408,"A man who specialises in debunking paranormal occurrences checks into the fabled room 1408 in the Dolphin Hotel. Soon after settling in, he confronts genuine terror.",2007,1h 44m,6.8 ,64,Horror
3, 28 Days Later,"Four weeks after a mysterious, incurable virus spreads throughout the UK, a handful of survivors try to find sanctuary.",2002,1h 53m,7.5 ,73,Horror
4, 28 Weeks Later,"Six months after the rage virus was inflicted on the population of Great Britain, the US Army helps to secure a small area of London for the survivors to repopulate and start again. But not everything goes according to plan.",2007,1h 40m,6.9 ,78,Horror
5, 300,King Leonidas of Sparta and a force of 300 men fight the Persians at Thermopylae in 480 B.C.,2006,1h 57m,7.6 ,52,Action
6, A Beautiful Mind,"After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish.",2001,2h 15m,8.2 ,72,Drama
7, A Bug's Life,"A misfit ant, looking for ""warriors"" to save his colony from greedy grasshoppers, recruits a group of bugs that turn out to be an inept circus troupe.",1998,1h 35m,7.2 ,77,Animation
8, A Quiet Place,A family struggles for survival in a world where most humans have been killed by blind but noise-sensitive creatures. They are forced to communicate in sign language to keep the creatures at bay.,2018,1h 30m,7.5 ,82,Horror
9, Aladdin,A kind-hearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.,1992,1h 30m,8.0 ,86,Animation
10, Alien,The crew of a commercial spacecraft encounters a deadly lifeform after investigating an unknown transmission.,1979,1h 57m,8.5 ,89,Horror
11, Alien: Covenant,"The crew of a colony ship, bound for a remote planet, discover an uncharted paradise with a threat beyond their imagination, and must attempt a harrowing escape.",2017,2h 2m,6.4 ,65,Horror
12, Alien³,"Returning from LV-426, Ellen Ripley crash-lands on the maximum-security prison Fiorina 161, where she discovers that she has unwittingly brought along an unwelcome visitor.",1992,1h 54m,6.4 ,59,Horror
13, American Beauty,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.,1999,2h 2m,8.3 ,84,Drama
14, American History X,"Living a life marked by violence, neo-Nazi Derek finally goes to prison after killing two black youths. Upon his release, Derek vows to change; he hopes to prevent his brother, Danny, who idolizes Derek, from following in his footsteps.",1998,1h 59m,8.5 ,62,Drama
15, American Psycho,"A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies.",2000,1h 42m,7.6 ,64,Horror
16, Annihilation,"A biologist signs up for a dangerous, secret expedition into a mysterious zone where the laws of nature don't apply.",2018,1h 55m,6.8 ,79,Horror
17, Avatar,A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.,2009,2h 42m,7.9 ,83,"Action,Adventure"
18, Avengers: Age of Ultron,"When Tony Stark and Bruce Banner try to jump-start a dormant peacekeeping program called Ultron, things go horribly wrong and it's up to Earth's mightiest heroes to stop the villainous Ultron from enacting his terrible plan.",2015,2h 21m,7.3 ,66,"Action,Adventure"
19, Avengers: Endgame,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",2019,3h 1m,8.4 ,78,"Action,Adventure,Drama"
20, Avengers: Infinity War,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,2018,2h 29m,8.4 ,68,"Action,Adventure"
21, Back to the Future,"Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.",1985,1h 56m,8.5 ,87,Adventure
22, Batman Begins,"After witnessing his parents' death, Bruce learns the art of fighting to confront injustice. When he returns to Gotham as Batman, he must stop a secret society that intends to destroy the city.",2005,2h 20m,8.2 ,70,"Action,Drama"
23, Baymax,"A special bond develops between plus-sized inflatable robot Baymax and prodigy Hiro Hamada, who together team up with a group of friends to form a band of high-tech heroes.",2014,1h 42m,7.8 ,74,Animation
24, Beauty and the Beast,A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.,1991,1h 24m,8.0 ,95,Animation
25, Bird Box,"Five years after an ominous unseen presence drives most of society to suicide, a mother and her two children make a desperate bid to reach safety.",2018,2h 4m,6.6 ,51,Horror
26, Black Panther,"T'Challa, heir to the hidden but advanced kingdom of Wakanda, must step forward to lead his people into a new future and must confront a challenger from his country's past.",2018,2h 14m,7.3 ,88,"Action,Adventure"
27, Blade,"A half-vampire, half-mortal man becomes a protector of the mortal race, while slaying evil vampires.",1998,2h,7.1 ,47,Horror
28, Blade Runner,A blade runner must pursue and terminate four replicants who stole a ship in space and have returned to Earth to find their creator.,1982,1h 57m,8.1 ,84,Action
29, Brave,"Determined to make her own path in life, Princess Merida defies a custom that brings chaos to her kingdom. Granted one wish, Merida must rely on her bravery and her archery skills to undo a beastly curse.",2012,1h 33m,7.1 ,69,Animation
30, Braveheart,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,1995,2h 58m,8.3 ,68,Drama
31, Captain America: Civil War,Political involvement in the Avengers' affairs causes a rift between Captain America and Iron Man.,2016,2h 27m,7.8 ,75,Action
